"id","kode","nama_pendek","nama","kategory","sektor","bidang_usaha","hasil_usaha","alamat","hotline","telp","fax","email","website","visi","misi","tujuan","logo","created_at","updated_at"
1,PDAMJ,PDAM JAYA,PD AIR MINUM JAYA,PD,Utilitas & Lainya,Jasa Pelayanan Penyediaan Air Bersih,Penyediaan air bersih di DKI Jakarta,"Jl. Penjernihan II, Pejompongan - Jakarta Pusat 10210",,(021) 5704250,(021) 5711796,binagram@pamjaya.co.id,www.pamjaya.co.id,"[""Terwujudnya PAM Jaya sebagai perusahaan yang memberikan pelayanan air minum kepada masyarakat DKI Jakarta secara menyeluruh dan berkualitas yang berorientasi pada kepuasan pelanggan (Total Quality Customer Service).""]","[""Melaksanakan pelayanan air minum yang berkesinambungan kualitas, kuantitas dan kontinuitas guna mendukung program pemerintah Provinsi DKI Jakarta mewujudkan kota Jakarta sebagai kota pelanggan.#""]","[""Pemenuhan air minum untuk kebutuhan masyarakat dalam rangka meningkatkan kesejahteraan rakyat"",""Meningkatkan pendapatan asli daerah serta turut melaksanakan pengembangan perekonomian daerah""]",/images/bumd/pdamj.png,"2016-09-20 13:04:54","2022-06-14 01:04:28"
2,DRMJY,DHARMA JAYA,PD DHARMA JAYA,PD,Pangan,Jasa RPH & Perdagangan,"Jasa pemotongan hewan, perdagangan daging dan ternak.","Jl. Raya Penggilingan No.25, Cakung Jakarta Timur",(021) 4609212,"(021) 4609028, 4609194",(021) 4613015,info@dharmajaya.co.id,www.dharmajaya.co.id,"[""Menjadi pemasok dan pemasar terkemuka serta sebagai pemimpin pasar dalam perdagangan dan industri daging di DKI Jakarta.""]","[""Membantu menunjang kebijaksanaan umum Pemerintah Daerah dalam rangka meningkatkan kesejahteraan masyarakat khususnya konsumen daging dan petani ternak.""]","[""Membantu dan menunjang kebijaksanaan umum Pemerintah Daerah dalam rangka meningkatkan kesejahteraan masyarakat khususnya konsumen daging dan petani ternak""]",/images/bumd/drmjy.png,"2016-09-20 13:04:54","2022-06-14 01:06:03"
3,PSRJY,PASAR JAYA,PERUMDA PASAR JAYA,PD,Pangan,Jasa Perpasaran,"Pengelola pasar, properti, dan pengembangan bisnis","Gedung Perumda Pasar Jaya, Jl. Cikini Raya No. 90, Jakarta Pusat 10330",,(021) 21390606,(021) 21390650, info@pasarjaya.co.id,www.pasarjaya.co.id,"[""Menjadikan pasar tradisional dan modern sebagai sarana unggulan dalam penggerak perekonomian daerah Propinsi DKI Jakarta.""]","[""Menjadikan Pasar Tradisional dan Modern yang Bersih, Aman, Nyaman dan Berwawasan Lingkungan serta memenuhi Kebutuhan Barang dan Jasa yang Lengkap, Segar, Murah serta Harga Bersaing""]","[""Mengelola dan mengembangkan area pasar  dalam rangka pertumbuhan dan pengembangan perekonomian daerah serta menunjang keuangan daerah""]",/images/bumd/psrjy.png,"2016-09-20 13:04:54","2022-06-14 01:06:22"
4,SRNJY,SARANA JAYA,PERUMDA PEMBANGUNAN SARANA JAYA,PD,Properti,Property & Development,Kaveling tanah matang & Bangunan umum,Jl. Budi Kemuliaan I No. 1 Jakarta Pusat,,(021) 3522667,"(021) 3863960, 385961, 3522569",cs.pdpsj@sarana-jaya.co.id,www.sarana-jaya.co.id,"[""Bertekad untuk menjadi BUMD yang tangguh, terdepan dan terpercaya dalam bisnis real estate dan properti dan menjadi penunjang utama kebijakan umum Pemerintah Provinsi DKI Jakarta dalam penyediaan tanah serta melaksanakan pengembangan terkait penyediaan pembangunan hunian, perkantoran dan pusat perbelanjaan serta fasilitas kota lainnya.""]","[""1) Berperan aktif dalam bisinis real estate dan properti dengan mengembangkan produk-produk berkualitas yang sesuai dengan kebutuhan masyarakat"","" 2) Mendukung kebutuhan Pemerintah Provinsi DKI Jakarta dalam menyediakan hunian dan fasilitasnya bagi masyarakat menengah ke bawah"","" 3) Melakukan \""enforcement\"""" terhadap Perda Nomor 2 Tahun 1982 khususnya terkait pengadaan tanah (land banking).""""]""","[""Membantu dan menunjang kebijaksanaan umum pemerintah dalam rangka meningkatkan kesejahteraan rakyat dengan mengadakan kegiatan di bidang penyediaan tanah, pembangunan perumahan, bangunan umum, kawasan industri berikut prasarana, sarana utilitas serta fasilitasnya dengan berpegang pada prinsip ekonomi perusahaan.""]",/images/bumd/srnjy.png,"2016-09-20 13:04:54","2022-06-14 01:06:41"
5,PALJY,PAL JAYA,PD PENGOLAHAN AIR LIMBAH JAYA,PD,Utilitas & Lainya,"Jasa pelayanan penyaluran dan pengumpulan air limbah melalui sistem perpipaan, sistem setempat serta pengolahannya",Mengolah air limbah sampai memenuhi kualitas sesuai dengan baku mutu yang telah ditetapkan,"Jl. Sultan Agung No. 1 Kecamatan Setiabudi, Jakarta Selatan",,"(021) 8354252, 8354253",(021) 8301470,paljaya@paljaya.com,www.paljaya.com,"[""Sebagai perusahaan yang kompeten dalam meningkatkan kualitas lingkungan fisik kota dari dampak pencemaran air limbah.""]","[""Memberikan jasa pelayanan pengelolaan air limbah sistem perpipaan\\sistem terpusat, sistem komunal, sistem setempat, sistem penyedeotan air limbah tanki septik dan kegiatan pendukung lainnya seperti sistem air daur ulang, layanan pemeilharaan jaringan pipa air limbah gedung\\\/sistem plumbing serta pengolahnnya""]","[""Membantu dan menunjang kebijakan umum Pemerintah Daerah DKI Jakarta dalam rangka meningkatkan kualitas lingkungan dan untuk meningkatkan kesejahteraan masyarakat, dengan memberikan jasa layanan penyaluran air limbah dan pengumpulan serta pengelolaannya melalui sistem perpipaan setempat serta pengolahnnya""]",/images/bumd/paljy.png,"2016-09-20 13:04:54","2022-06-14 01:07:02"
6,FODST,FOOD STATION,PT FOOD STATION TJIPINANG JAYA,PT,Pangan,Jasa / Perdagangan,"Penyewaan gudang, Pasar dan Perdagangan",Jl. Pisangan Lama Selatan No. 1 Jakarta Timur.,(021) 4897208,"(021) 489208, 4897272","(021) 4717994, 47865611",pusat@foodstation.co.id,www.foodstation.co.id,"[""Menjadi Pusat Informasi dan Perdagangan Bahan Pangan Asia Tenggara.""]","[""Membangun dan menyelenggarakan serta mengelola fasilitas-fasilitas yang berhubungan dengan food station"",""Membangun dan menyelenggarakan sentra perdagangan bahan kebutuhan pokok makanan"",""Membangun dan mengelola serta meningkatkan pelayanan Pasar Induk Beras Cipinang"",""Mengadakan dan menyalurkan serta menjaga stabilitas supplai, distribusi, dan harga bahan pangan pokok"",""Melakukan dan mengelola perdagangan umum kebutuhan bahan pokok beras"",""Membangun kawasan pangan melalui kerjasama kemitraan untuk menjamin suplai  beras ke pasar Induk Cipinang"",""Menjalankan Sistem Resi Gudang untuk membantu petani dalam memasarkan hasil pertaniannya""]","[""Membangun dan menyelenggarakan serta mengelola fasilitas-fasilitas yang berhubungan dengan food station"",""Membangun dan menyelenggarakan sentra perdagangan bahan kebutuhan pokok makanan"",""Membangun dan mengelola serta meningkatkan pelayanan Pasar Induk Beras Cipinang"",""Mengadakan dan menyalurkan serta menjaga stabilitas supplai, distribusi, dan harga bahan pangan pokok"",""Melakukan dan mengelola perdagangan umum kebutuhan bahan pokok beras"","" Membangun kawasan pangan melalui kerjasama kemitraan untuk menjamin suplai  beras ke pasar Induk Cipinang"",""Menjalankan Sistem Resi Gudang untuk membantu petani dalam memasarkan hasil pertaniannya""]",/images/bumd/fodst.png,"2016-09-20 13:04:54","2022-06-14 01:09:10"
7,ANCOL,ANCOL,"PT PEMBANGUNAN JAYA ANCOL, Tbk",PT,Pariwisata,"Pembangunan (Real Estate) dan Jasa Konsultasi Bidang Perencanaan dan Pembangunan serta di Bidang Usaha Kawasan Pariwisata (Rekreasi), Perhotelan dan Sarana Olahraga melalui Anak Usaha",- ,Jl. Lodan Timur No. 7 Ancol Jakarta Utara,,(021) 6454567,(021) 64710502,investor@ancol.com,www.ancol.com,"[""Menjadi perusahaan pengembang properti dengan kawasan wisata terpadu, terbesar dan terbaik di Asia Tenggara yang memiliki jaringan sentra rekreasi terluas.""]","[""Sebagai komunitas pembaharuan kehidupan masyarakat yang menjadi kebanggaan bangsa. Senantiasa menciptakan lingkungan sosial yang lebih baik melalui sajian hiburan berkualitas yang berunsur seni, budaya dan pengetahuan, dalam rangka mewujudkan komunitas \u2018Life Re-Creation\u2019 yang menjadi kebanggaan bangsa.""]","[""Maksud dan tujuan Perseroan ini adalah berusaha dalam bidang Pembangunan dan Jasa.""]",/images/bumd/ancol.png,"2016-09-20 13:04:54","2022-06-14 01:09:41"
8,JKPRO,JAKPRO,PT JAKARTA PROPERTINDO (PERSERODA),PT,Properti,"Perdagangan, Jasa dan Pengembangan, Infrastruktur, dan Utilitas","Perdagangan, Jasa dan pengembangan, Infrastruktur dan Utilitas, Real Estate dan Konstruksi","Gedung Thamrin City, Lantai 1, Lobby Timur, Blok BT, 12, 15, 16,
Jl. Thamrin Boulevard, Kelurahan Kebon Melati, Kecamatan Tanah Abang, 
Jakarta Pusat 10230
",,(021) 2962 5700 ,(021) 2962 5708,info@jakarta-propertindo.com,www.jakarta-propertindo.com,"[""Menjadi perusahaan yang unggul untuk menjadikan JAKARTA lebih baik.""]","[""1) Mengkoordinasikan dan mensinergikan seluruh potensi organisasi korporasi serta menselaraskan dengan visi dan misi Pemerintah DKI Jakarta"","" 2) Menumbuhkan budaya korporat yang unggul dan menerapkannya sebagai perilaku organisasi (way of life)"","" 3) Meningkatkan nilai perusahaan melalui produk properti dan infrastruktur yang inovatif, berdaya saing tinggi, dan berwawasan lingkungan dalam rangka memenuhi kepuasan stakeholder.""]","[""1.   Melakukan kegiatan di bidang perdagangan yaitu perdagangan dan distribusi bahan pangan dan palawija"","" 2.   Melakukan kegiatan di bidang jasa yaitu jasa pengelolaan kegiatan dan sarana olah raga dan jasa pengolahan       fasilitas pengolahan limbah usaha di bidang energi hulu"","" 3.   Melakukan kegiatan di bidang real estate (pengembang) serta infrastruktur yaitu di bidang real estate       (pengembang), pengadaan tanah matang (kavling siap bangun), land banking, reklamsi, perkantoran,       apartemen, pertokoan, kawasan industri, pabrik, pergudangan dan perumahan, rekreasi serta hotel"",""4.   Melakukan pengelolaan, penyewaan dan\/atau penjualan bangunan pekantoran, pertokoan, apartemen, kawasan       industri dan perumahan"",""5.   Mengusahakan pengembangan kawasan permukiman skala besar, pemukiman tersusun, menyelenggarakan       pengelolaan lingkungan siap bangun"",""6.   Melaksanakan investasi di bidang properti termasuk penyertaan modal, jual beli saham"","" 7.   Membangun jaringan prasarana lingkungan dan pengelolaannya"","" 8.   Melaksanakan investasi di bidang infrastruktur termasuk dan tidak terbatas pada penyertaan modal, jual beli       saham perusahaan dan pengelola infrastruktur"","" 9.   Melaksanakan usaha dalam pengembangan jaringan jalan tol dan pelabuhan"","" 10. Mengkoordinasikan penyelenggaraan penyediaan utilitas umum"","" 11. Mengusahan Kontraktor (pemborong umum) baik perencanaa, pelaksanaan dan pemeliharaan bangunan.12. Melaksanakan usaha dalam penyediaan dan pengelolaan gas serta listrik tenaga gas"","" 13. Melaksanakan usaha di bidang penyediaan dan pengelolaan air bersih"","" 14. Melaksanakan usaha di bidang informasi, komunikasi dan telekomunikasi"","" 15. Penyelenggaraan prasarana dan sarana perkeretaapian"","" 16. Jasa pengelolaan sampah dan daur ulang.""]",/images/bumd/jkpro.png,"2016-09-20 13:04:54","2022-06-14 01:10:09"
9,BNDKI,BANK DKI,PT BANK DKI,PT,Keuangan,Perbankan,Jasa perbankan,"Gedung Prasada Sasana Karya;
Jl. Suryopranoto No. 8, Jakarta Pusat 10310",(021) 80655555,(021) 80655555,(021) 80655500,corsec@bankdki.co.id,www.bankdki.co.id,"[""Menjadi Bank Pilihan Untuk Jakarta yang Maju dan Sejahtera""]","[""1) Mendukung pertumbuhan Jakarta melalui pengembangan UMKM, kemudahan bertransaksi dan mewujudkan sistem transaksi non tunai."",""2) Memaksimalkan peran sebagai mitra bisnis seluruh ekosistem Jakarta."",""3) Meningkatkan kompetensi sumber daya manusia dan penerapan teknologi serta sistem informasi yang handal untuk mendukung pencapaian kinerja bisnis.""]",,/images/bumd/bndki.png,"2016-09-20 13:04:54","2022-06-14 01:10:30"
10,JKTUR,JAKTOUR,PT JAKARTA TOURISINDO,PT,Pariwisata,Industri Pariwisata,"Jasa Perhotelan, Usaha Pondok Wisata, dan Biro Wisata.","Hotel Grand Cempaka Jakarta Lantai 2, Jl. Letjen Suprapto Cempaka Putih Jakarta 10520",,(021)4266535; (021)4265568,(021) 4265567,jaktour@jakartatourisindo.com,www.jakartatourisindo.com,"[""Perusahaan berkelas dunia yang inovatif dan berkelanjutan dalam memberikan pengalaman pariwisata dan mengembangkan ekonomi kreatif di Jakarta""]","[""1) Menjadi Ecosystem enabler untuk mendorong pengalaman pariwisata di Jakarta. 2) Memberikan pertumbuhan dan nilai berkelanjutan ke Pemerintah dan Komunitas.""]","[""Melakukan usaha di bidang industri Pariwisata dan usaha penyediaan akomodasi serta usaha-usaha penunjang lain yang menghasilkan jasa penyedia sarana pariwisata yang berstandar nasional maupun internasional serta memiliki daya saing kuat dengan industri sejenis untuk mendapatkan\/memperoleh keuntungan guna meningkatkan nilai Perseroan dengan menerapkan prinsip-prinsip Perseroan Terbatas""]",/images/bumd/jktur.png,"2016-09-20 13:04:54","2022-06-30 02:28:53"
