"id","kode","nama_pendek","nama","kategory","sektor","bidang_usaha","hasil_usaha","alamat","hotline","telp","fax","email","website","visi","misi","tujuan","logo","akta_pendirian","akta_perubahan","dasar_hukum","nilai_saham","created_at","updated_at","deleted_at"
1,PDAMJ,PDAM JAYA,PERUMDA AIR MINUM JAYA,PD,Utilitas & Lainya,Jasa Pelayanan Penyediaan Air Bersih,Penyediaan air bersih di DKI Jakarta,"Jl. Penjernihan II, Pejompongan - Jakarta Pusat 10210",,(021) 5704250,(021) 5711796,binagram@pamjaya.co.id,www.pamjaya.co.id,Terwujudnya PAM Jaya sebagai perusahaan yang memberikan pelayanan air minum kepada masyarakat DKI Jakarta secara menyeluruh dan berkualitas yang berorientasi pada kepuasan pelanggan (Total Quality Customer Service).,"Melaksanakan pelayanan air minum yang berkesinambungan kualitas, kuantitas dan kontinuitas guna mendukung program pemerintah Provinsi DKI Jakarta mewujudkan kota Jakarta sebagai kota pelanggan.","Pemenuhan air minum untuk kebutuhan masyarakat dalam rangka meningkatkan kesejahteraan rakyat
Meningkatkan pendapatan asli daerah serta turut melaksanakan pengembangan perekonomian daerah",/pics/user/2024/07/24/05/18/VRKAkumxWnIojyR6.jpg,,,"[""Peraturan Daerah Nomor 4 Tahun 2021 tentang Perubahan Bentuk Hukum Perusahaan Daerah Air Minum Daerah Khusus Ibukota Jakarta (PAM Jaya) Menjadi Perusahaan Umum Daerah Air Minum Jaya""]",Pemprov DKI Jakarta (100%),"2016-09-20 20:04:54","2025-11-12 06:53:19",
2,DRMJY,DHARMA JAYA,PERUMDA DHARMA JAYA,PD,Pangan,Jasa RPH & Perdagangan,"Jasa pemotongan hewan, perdagangan daging dan ternak.","Jl. Raya Penggilingan No.25, Cakung Jakarta Timur",(021) 4609212,"(021) 4609028, 4609194",(021) 4613015,info@dharmajaya.co.id,www.dharmajaya.co.id,"Berkomitmen menjadi perusahaan pangan protein hewani yang memiliki peran penting untuk pemenuhan kebutuhan protein hewani dan ketahanan pangan masyarakat, serta  mendorongperekonomian berkelanjutan di Indonesia maupun global.","(1) Menerapkan prinsip tata kelola perusahaan yang baik sebagai kunci untuk menjalankan dan mendorong pertumbuhan bisnis perusahaan berkelanjutan
(2) Mengembangkan bisnis usaha dengan memanfaatkan aset untuk perluasan jaringan industri perdagangan protein hewani berupa peternakan, perikanan, dan turunan hasil olahan produk
(3) Meningkatkan manajemen sumber daya manusia yang profesional, dapat beradaptasi dengan kemajuan teknologi, serta berorientasi kepada kepuasan pelanggan
(4) Mendukung program Pemerintah Daerah Provinsi DKI Jakarta untuk mewujudkan dan menjaga stok ketahanan pangan protein hewani demi memastikan kebutuhan masyarakat Jakarta aman
(5) Meningkatkan sinergitas antara Perusahaan Pemerintah, Swasta, maupun Pemerintah Provinsi guna memastikan perputaran perekonomian terus berlanjut untuk menjamin kesejahteraan masyarakat dalam industri dunia protein hewani di Indonesia.",Membantu dan menunjang kebijaksanaan umum Pemerintah Daerah dalam rangka meningkatkan kesejahteraan masyarakat khususnya konsumen daging dan petani ternak,/pics/user/2020/11/27/29/09/R4x9ZRZYLLnpa4vf.jpeg,,,"[""Peraturan Daerah Nomor 2 Tahun 2021 tentang Perubahan Bentuk Hukum Perusahaan Daerah Dharma Jaya Menjadi Perusahaan Umum Daerah Dharma Jaya""]",Pemprov DKI Jakarta (100%),"2016-09-20 20:04:54","2025-11-14 06:12:35",
3,PSRJY,PASAR JAYA,PERUMDA PASAR JAYA,PD,Pangan,Jasa Perpasaran,"Pengelola pasar, properti, dan pengembangan bisnis","Gedung Perumda Pasar Jaya, Jl. Cikini Raya No. 90, Jakarta Pusat 10330",,(021) 21390606,(021) 21390650,info@pasarjaya.co.id,www.pasarjaya.co.id,Menjadikan pasar tradisional dan modern sebagai sarana unggulan dalam penggerak perekonomian daerah Provinsi DKI Jakarta.,"Menyediakan pasar tradisional dan modern yang bersih, nyaman, aman dan berwawasan lingkunan serta memenuhi kebutuhan barang dan jasa  yang lengkap, segar, murah dan bersaing.",Mengelola dan mengembangkan area pasar  dalam rangka pertumbuhan dan pengembangan perekonomian daerah serta menunjang keuangan daerah,/pics/user/2016/10/14/17/25/RgnwCZPe68nRFTKC.jpg,,,"[""Peraturan Daerah Nomor 3 Tahun 2018 tentang Perumda Pasar Jaya""]",Pemprov DKI Jakarta (100%),"2016-09-20 20:04:54","2024-08-27 10:05:51",
4,SRNJY,SARANA JAYA,PERUMDA PEMBANGUNAN SARANA JAYA,PD,Properti,Property & Development,Kaveling tanah matang & Bangunan umum,Jl. Budi Kemuliaan I No. 1 Jakarta Pusat,,(021) 3522667,"(021) 3863960, 385961, 3522569",cs.pdpsj@sarana-jaya.co.id,www.sarana-jaya.co.id,Menjadi Perusahaan Pengembang yang terkemuka dan berkelanjutan di Indonesia.,"(1) Mengembangkan bisnis properti yang mendukung strategi dan program kerja Pemprov DKI Jakarta
(2) Menjalin kemitraan strategis untuk menciptakan nilai (value creation) produk dan jasa yang dapat memberikan manfaat kepada masyarakat luas
(3) Berperan aktif dalam mendorong pembangunan kawasan di perkotaan
(4) Mewujudkan SDM yang unggul
(5) Berkomitmen terhadap lingkungan yang berkelanjutan.","Membantu dan menunjang kebijaksanaan umum pemerintah dalam rangka meningkatkan kesejahteraan rakyat dengan mengadakan kegiatan di bidang penyediaan tanah, pembangunan perumahan, bangunan umum, kawasan industri berikut prasarana, sarana utilitas serta fasilitasnya dengan berpegang pada prinsip ekonomi perusahaan.",/pics/user/2021/09/01/05/45/GVDYPXZQyUy5CtLn.jpg,,,"[""Peraturan Daerah Nomor 2 Tahun 1982 tentang Perusahaan Daerah Pembangunan Sarana Jaya sebagaimana telah tiga kali diubah terakhir dengan Peraturan Daerah Nomor 11 Tahun 2018""]",Pemprov DKI Jakarta (100%),"2016-09-20 20:04:54","2025-11-14 04:14:10",
5,PALJY,PAL JAYA,PERUMDA PENGOLAHAN AIR LIMBAH JAYA,PD,Utilitas & Lainya,"Jasa pelayanan penyaluran dan pengumpulan air limbah melalui sistem perpipaan, sistem setempat serta pengolahannya",Mengolah air limbah sampai memenuhi kualitas sesuai dengan baku mutu yang telah ditetapkan,"Jl. Sultan Agung No. 1 Kecamatan Setiabudi, Jakarta Selatan",,"(021) 8354252, 8354253",(021) 8301470,paljaya@paljaya.com,www.paljaya.com,Menjadi perusahaan yang andal dan dinamis dalam pengelolaan air limbah dan limbah B3 yang berkelanjutan dalam mewujudkan Jakarta sebagai Kota yang Berketahanan.,"(1) Membangun keterandalan (reliability) dalam memberikan layanan dan berorientasi pelanggan (customer oriented)
(2) Inovatif dalam mengembangkan produk dan layanan sehingga memberikan nilai tambah bagi pelanggan, karyawan, pemegang saham dan seluruh pemangku
(3) Membangun budaya dan nilai-nilai yang berintegritas, profesional, adaptif dan dinamis
(4) Mendekatkan layanan limbah B3 untuk masyarakat Jakarta
(5) Memperluas cakupan layanan pengelolaan air limbah domestik
(6) Menyediakan air daur ulang sebagai alternatif pemenuhan kebutuhan air non konsumsi
(7) Mendorong peningkatan perbaikan perilaku masyarakat Jakarta terhadap lingkungan
(8) Menghadapi tantangan permasalahan lingkungan secara adaptif dan dinamis.","Membantu dan menunjang kebijakan umum Pemerintah Daerah DKI Jakarta dalam rangka meningkatkan kualitas lingkungan dan untuk meningkatkan kesejahteraan masyarakat, dengan memberikan jasa layanan penyaluran air limbah dan pengumpulan serta pengelolaannya melalui sistem perpipaan setempat serta pengolahnnya",/pics/user/2021/08/03/04/18/tlDmidI39HaOQaX2.png,,,"[""Peraturan Daerah Nomor 5 Tahun 2021 tentang Perubahan Bentuk Hukum Perusahaan Daerah Pengelolaan Air Limbah Daerah Khusus Ibukota Jakarta Menjadi Perusahaan Umum Daerah Pengelolaan Air Limbah Jaya""]",Pemprov DKI Jakarta (100%),"2016-09-20 20:04:54","2025-11-14 04:08:12",
6,FODST,FOOD STATION,PT FOOD STATION TJIPINANG JAYA (PERSERODA),PT,Pangan,Jasa / Perdagangan,"Penyewaan gudang, Pasar dan Perdagangan",Jl. Pisangan Lama Selatan No. 1 Jakarta Timur.,(021) 4897208,"(021) 4718011, 4717990, 4717993","(021) 4717994, 47865611",pusat@foodstation.co.id,www.foodstation.id,Menjadi Pilar Ketahanan Pangan dan Produsen Pangan Pilihan Utama Pelanggan.,"(1) Sebagai pilar ketahanan pangan di wilayah DKI Jakarta dan sekitarnya
(2) Sebagai pusat informasi perberasan nasional dan pengelola Pasar Induk Beras Cipinang
(3) Sebagai pemain kunci dalam rantai pasok pangan nasional
(4) Sebagai Produsen berbagai produk pangan pilihan utama pelanggan.","Membangun dan menyelenggarakan serta mengelola fasilitas-fasilitas yang berhubungan dengan food station
Membangun dan menyelenggarakan sentra perdagangan bahan kebutuhan pokok makanan
Membangun dan mengelola serta meningkatkan pelayanan Pasar Induk Beras Cipinang
Mengadakan dan menyalurkan serta menjaga stabilitas supplai, distribusi, dan harga bahan pangan pokok
Melakukan dan mengelola perdagangan umum kebutuhan bahan pokok beras
Membangun kawasan pangan melalui kerjasama kemitraan untuk menjamin suplai  beras ke pasar Induk Cipinang
Menjalankan Sistem Resi Gudang untuk membantu petani dalam memasarkan hasil pertaniannya",/pics/user/2023/01/26/19/41/JClDJJqTMzOQo1Sw.jpg,"[""Akta nomor 46 tanggal 28 April 1972 oleh Notaris Sulaeman Ardjsasmita SH""]","[""Akta Nomor 16 tanggal 22 Februari 2017 yang dibuatdihadapan Notaris H. Riyad, SH""]","[""Peraturan Daerah Nomor 6 Tahun 2014 tentang Badan Usaha Milik Daerah Perseroan Terbatas Food Station Tjipinang Jaya""]","Pemprov DKI Jakarta (99,985%); PT Jakarta Propertindo (0,011%); Lainnya (0,004%)","2016-09-20 20:04:54","2025-11-14 02:35:05",
7,ANCOL,ANCOL,PT PEMBANGUNAN JAYA ANCOL Tbk,PT,Pariwisata,"Real Estate (pembangunan, penjualan, dan penyewaan bangunan, serta penjualan tanah kavling) dan pariwisata, termasuk mengelola taman bermain dan area rekreasi, pasar seni, dan dermaga.",,"Jl. Lodan Timur No. 7 Ancol, Jakarta Utara",,(021) 6454567,(021) 64710502,investor@ancol.com,www.ancol.com,Menjadi perusahaan pengembang properti dengan kawasan wisata terpadu terbesar di Asia Tenggara.,"Sebagai komunitas pembaruan kehidupan masyarakat yang menjadi kebanggaan bangsa. Senantiasa menciptakan lingkungan sosial yang lebih baik melalui sajian hiburan berkualitas yang berunsur seni, budaya, dan pengetahuan.","Berusaha dalam bidang: Konstruksi, ⁠Pengangkutan dan Pergudangan, ⁠Real Estat dan Jasa (Aktivitas Profesional, Ilmiah, Teknis, Kesenian, Hiburan dan Rekreasi).",/pics/user/2025/08/25/18/27/usA89CwNFFc9iWrF.png,"[""Akta Notaris No. 33 tanggal 10 Juli 1992 dibuat di hadapan Notaris Pengganti Achmad Abid, SH, notaris di Jakarta, yang telah diperbarui dengan Akta  No. 98 tanggal 22 Agustus 1992 dan Akta No. 134 tanggal 8 September 1992 dibuat di hadapan Notaris Sutjipto, SH, notaris di Jakarta, dan telah disahkan oleh Menteri Kehakiman Republik Indonesia dengan Surat Keputusan  No. C2-7514.HT.01.01.TH.92 tanggal 11 September 1992, serta diumumkan dalam Berita Negara Republik Indonesia No. 95 tanggal 27 November 1992, Tambahan No. 6071.""]","[""Perubahan Anggaran Dasar terakhir sebagaimana dimuat dalam Akta Pernyataan Keputusan Rapat Perubahan Anggaran Dasar PT Pembangunan Jaya Ancol, Tbk. No. 56 tanggal 25 April 2025, dibuat di hadapan Aulia Taufani, S.H., Notaris di Jakarta Selatan, akta mana telah memperoleh persetujuan dan tercatat di dalam database Sistem Administrasi Badan Hukum Kementerian Hukum Republik Indonesia berdasarkan Surat Persetujuan Perubahan Anggaran Dasar Perseroan No. AHU-0030431.AH.01.02.TAHUN 2025 tanggal 09 Mei 2025.""]","[""Peraturan Daerah Nomor 4 Tahun 1991 tentang Penyertaan Modal Daerah Daerah Khusus Ibukota Jakarta pada Pembentukan Perseroan Terbatas Pembangunan Jaya Ancol sebagaimana telah diubah dengan Peraturan Daerah Nomor 16 Tahun 2014""]","Pemprov DKI Jakarta (72,00%); PT Pembangunan Jaya (18,01%); Masyarakat (9,99%)","2016-09-20 20:04:54","2025-11-03 01:21:03",
8,JKPRO,JAKPRO,PT JAKARTA PROPERTINDO (PERSERODA),PT,Properti,"Perdagangan, Jasa dan Pengembangan, Infrastruktur, dan Utilitas, TReal Estate dan Konstruksi, serta Kegiatan Usaha Hulu Minyak dan Gas Bumi.","Perdagangan, Jasa dan pengembangan, Infrastruktur dan Utilitas, Real Estate dan Konstruksi.","Gedung Thamrin City, Lantai 1, Lobby Timur, Blok BT, 12, 15, 16,

Jl. Thamrin Boulevard, Kelurahan Kebon Melati, Kecamatan Tanah Abang, 

Jakarta Pusat 10230",,(021) 2962 5700,,corporate.secretary@jakpro.co.id,www.jakpro.co.id,Menjadi Perusahaan unggul untuk menjadikan Jakarta lebih baik,"Synergizing Potentials: Mengkoordinasikan dan menyinergikan seluruh potensi organisasi korporasi serta menyelaraskan dengan visi dan misi Pemerintah Provinsi DKI Jakarta
Excellent Corporate Culture: Menumbuhkan budaya korporat yang unggul dan menerapkannya sebagai perilaku organisasi (way of life)
Enchancing Corporate Value: Meningkatkan nilai perusahaan melalui produk properti dan infrastruktur yang inovatif, berdaya saing tinggi, dan berwawasan lingkungan dalam rangka memenuhi kepuasan stakeholder.","1. Real Estat Yang Dimiliki Sendiri atay Disewa : mencakup usaha pembelian penjualan, persewaan dan pengoperasian real estat baik yang dimiliki sendiri maupun disewa, seperti bangunan apartemen, bangunan hunian dan bangunan non hunian serta penyediaan rumah dan flat atau apartemen
2. Penyiapan Lahan: mencakup usaha penyaiapan lahan untuk kegiatan konstruksi, seperti pelaksanaan pembersihan dan pematangan lahan konstruksi, pembersihan semak belukar, pemukaan lahan/stabilisasi tanah
3. Konstruksi Gedung Hunian: mencakup usaha pembangunan, pemeliharaan, dan/atau pembangunan kembali bangunan yang dipakai untuk hunian,
4. Konstruksi Gedung Perkantoran: mencakup usaha pembangunan, pemeliharaan, dan/atau pembangunan kembali bangunan yang dipakai gedung perkantoran
5. Konstruksi Gedung Perbelanjaan: mencakup usaha pembangunan, pemeliharaan, dan/atau pembangunan kembali bangunan yang dipakai untuk perbelanjaan, seperti gedung perdagangan/pasar/mall, toserba, toko, rumah toko (ruko) dan warung
6. Konstruksi Gedung Industri: mencakup usaha pembangunan, pemeliharaan, dan/atau pembangunan kembali bangunan yang dipakai untuk industri, seperti perindustrian/pabrik, gedung workshop/bengkel kerja, bangunan pabrik untuk pengelolaan dan pemrosesan bahan nuklir
7. Konstruksi Gedung Penginapan: mencakup usaha pembangunan, pemeliharaan, dan/atau pembangunan kembali bangunan yang dipakai untuk penginapan seperti hotel, hostel dan losmen
8. Konstruksi Gedung Tempat Hiburan dan Olahraga: mencakup usaha pembangunan, pemeliharaan, dan/atau pembangunan kembali bangunan yang dipakai untuk tempat hiburan seperti bioskop, gedung kebudayaan/kesenian, gedung wisata dan rekreasi serta gedung olahraga
9. Konstruksi Gedung Lainnya: mencakup usaha pembangunan, pemeliharaan, dan/atau pembangunan kembali bangunan yang dipakai penggunaan selain dalam kelompok Konstruksi Gedung Hunian, Konstruksi Gedung Perkantoran, Konstruksi Gedung Industri, Konstruksi Gedung Kesehatan, Konstruksu Gedung Pendidikan, Konstruksi Gedung Penginapan serta Konstruksi Gedung Tempat Hiburan dan Olahraga,
10. Konstruksi Bangunan Sipil Lainnya YTDL mencakup usaha pembangunan, pemeliharaan, dan perbaikan bangunan sipil lainnya seperti lapangan parki dan saran lingkungan pemukiman lainnya.11. Perdangangan Besar Bahan Bakar Padat, Cair, dan Gas dan Produks YBCDI mencakup usaha perdangana besar bahan bakar gas, cair, dan padat, serta produk sejenisnya
12. Angkutan Bermotor Untuk Barang Khusus: mencakup operasional angkutan barang dengan kendaraan bermotor untuk barang yang secara khusus mengangkut satu jenis barang.13. Pertambangan Minyak Bumi: mencakup usaha atau kegaitan pertambangan minyak bumi mentah termasuk usaha pencarian kandungan minyak bumi, pengeboran, penambangan, pemisahan serta penampungan, produksi minyak bumi mentah kondensat, pemrosesan untuk menghasilkan minyak mentah dengan cara penampungan, penyariangn, pengeringan, stabilisasi dan lain-lain
14. Pertambangan Gas Alam: mencakup usaha pencarian kandungan gas alam, pengeboran, penambangan, pemisahan serta penampungan.",/pics/user/2025/09/03/46/28/8Wa3nafWSzvo9OLx.png,"[""Akta Nomor 21 tanggal 5 Agustus 1997 oleh Notaris Ida Fidiyantri, S.H.""]","[""Akta Nomor 01, tanggal 2 September 2024 oleh Notaris Ashoya Ratam, S.H., M.Kn.""]","[""Peraturan Daerah Nomor 10 Tahun 2018 tentang Perseroan Terbatas Jakarta Propertindo (Perseroan Daerah)""]","Pemprov DKI Jakarta (99,998%); Perumda Pasar Jaya (0,002%)","2016-09-20 20:04:54","2025-11-01 15:51:36",
9,BNDKI,BANK DKI,PT BANK DKI,PT,Keuangan,Perbankan,Jasa perbankan,"Gedung Prasada Sasana Karya;

Jl. Suryopranoto No. 8, Jakarta Pusat 10310",(021) 80655555,(021) 80655555,(021) 80655500,corsec@bankdki.co.id,www.bankdki.co.id,Menjadi Bank Pilihan untuk Jakarta yang Maju dan Sejahtera.,"(1) Mendukung pertumbuhan Jakarta melalui pengembangan UMKM, kemudahan bertransaksi dan mewujudkan sistem transaksi non-tunai
(2) Memaksimalkan peran sebagai mitra bisnis seluruh ekosistem Jakarta
(3) Meningkatkan kompetensi sumber daya manusia dan penerapan teknologi serta sistem informasi yang handal untuk mendukung pencapaian kinerja bisnis.",,/pics/user/2017/04/12/37/30/qRp0jIbuX38ile8N.png,"[""Akta Nomor 30 tanggal 11 April 1961 oleh Notaris Eliza Pondaag, SH."",""""]","[""Akta Nomor 64 tahun 2016 oleh Notaris Ashoya Ratam , SH, Mkn""]","[""Peraturan Daerah Nomor 1 Tahun 1999 tentang Perubahan Bentuk Hukum Bank Pembangunan Daerah Daerah Khusus Ibukota Jakarta dari Perusahaan Daerah (PD) Menjadi Perseroan Terbatas (PT) Bank Pembangunan Daerah Daerah Khusus Ibukota Jakarta sebagaimana telah dua kali diubah terakhir dengan Peraturan Daerah Nomor 15 Tahun 2014""]","Pemprov DKI Jakarta (99,98%); Perumda Pasar Jaya (0,02%)","2016-09-20 20:04:54","2025-11-14 03:52:43",
10,JKTUR,JAKTOUR,PT JAKARTA TOURISINDO (PERSERODA),PT,Pariwisata,Industri Pariwisata,"Jasa Perhotelan, Usaha Pondok Wisata, dan Biro Wisata.","Hotel Grand Cempaka Jakarta Lantai 2, Jl. Letjen Suprapto Cempaka Putih Jakarta 10520",,(021)4266535; (021)4265568,(021) 4265567,jaktour@jakartatourisindo.com,www.jxboard.co.id,Perusahaan berkelas dunia yang inovatif dan berkelanjutan dalam memberikan pengalaman pariwisata dan mengembangkan ekonomi kreatif di Jakarta.,"(1) Menjadi ecosystem enabler untuk mendorong pengalaman pariwisata di Jakarta
(2) Memberikan pertumbuhan dan nilai berkelanjutan ke Pemerintah dan komunitas.",Melakukan usaha di bidang industri Pariwisata dan usaha penyediaan akomodasi serta usaha-usaha penunjang lain yang menghasilkan jasa penyedia sarana pariwisata yang berstandar nasional maupun internasional serta memiliki daya saing kuat dengan industri sejenis untuk mendapatkan/memperoleh keuntungan guna meningkatkan nilai Perseroan dengan menerapkan prinsip-prinsip Perseroan Terbatas,/pics/user/2023/01/02/46/45/UctHVHJzksy7j094.jpeg,"[""Akta Nomor 6 tanggal 17 September 2004 oleh Notaris Yualita Widyadhari, SH.""]","[""Akta Nomor 15 tanggal 16 Desember 2020 oleh Notaris Yualita Widyadhari, SH, MKn""]","[""Peraturan Daerah Nomor 3 Tahun 2021 tentang Perubahan Bentuk Hukum Perseroan Terbatas Jakarta Tourisindo Menjadi Perseroan Terbatas Jakarta Tourisindo (Perseroan Daerah)""]","Pemprov DKI Jakarta (99,47%); Perumda Pasar Jaya (0,53%)","2016-09-20 20:04:54","2025-11-14 03:46:19",
