"id","bumd_id","no_akun","nama_akun","tahun_2020","tahun_2021","tahun_2022","tahun_2023","tahun_2024","created_at","updated_at"
1,8,1,Aset,20406506714,23520738104,23286551198,24705487012,26260283250,,
2,8,2,Liabilitas,1622294916,1058819820,1107891346,1333492105,1211311640,,
3,8,3,Ekuitas,18784211798,22461918284,22178659852,23371994907,25048971610,,
4,8,4,Pendapatan Usaha,756568305,778175984,1091347697,1348263753,1475331878,,
5,8,5,Beban Pokok Pendapatan,707134896,682119765,928023480,1591101389,1596107280,,
6,8,6,Laba Kotor,49433408,96056219,163324217,242837636,120775402,,
7,8,7,Beban Usaha,543009479,497811263,565425361,923800549,684510490,,
8,8,8,Laba Usaha,493576070,401755044,402101144,1166638185,805285892,,
9,8,9,Laba Tahun Berjalan,240890363,110831791,280281518,701697323,518416034,,
10,8,10,Dividen Bagian Pemprov DKI Jakarta,15000000,0,0,0,0,,
11,13,1,Aset,514589458,582574725,702702348,813859468,1150750909,,
12,13,2,Liabilitas,81803932,198861232,303781989,395490007,512657220,,
13,13,3,Ekuitas,432785526,383713493,398920358,418369462,638093689,,
14,13,4,Pendapatan Usaha,95954864,142629028,225192427,350930066,398268473,,
15,13,5,Beban Pokok Pendapatan,7428838,9504645,181819955,290831770,311343120,,
16,13,6,Laba Kotor,88526026,133124384,43372472,60098295,86925353,,
17,13,7,Beban Usaha,86672182,149096843,27494992,34269041,52294305,,
18,13,8,Laba Usaha,1853844,15972460,15877480,25829255,34631047,,
19,13,9,Laba Tahun Berjalan,1952171,16393076,15288310,19460138,27402590,,
20,13,10,Dividen Bagian Pemprov DKI Jakarta,2905108,1002440,0,0,7686754,,
21,13,1,Aset,0,0,0,0,0,,
22,13,2,Liabilitas,0,0,0,0,0,,
23,13,3,Ekuitas,0,0,0,0,0,,
24,13,4,Pendapatan Usaha,0,0,0,0,0,,
25,13,5,Beban Pokok Pendapatan,0,0,0,0,0,,
26,13,6,Laba Kotor,0,0,0,0,0,,
27,13,7,Beban Usaha,0,0,0,0,0,,
28,13,8,Laba Usaha,0,0,0,0,0,,
29,13,9,Laba Tahun Berjalan,0,0,0,0,0,,
30,13,10,Dividen Bagian Pemprov DKI Jakarta,0,0,0,0,0,,
31,8,1,Aset,0,0,0,0,0,,
32,8,2,Liabilitas,0,0,0,0,0,,
33,8,3,Ekuitas,0,0,0,0,0,,
34,8,4,Pendapatan Usaha,0,0,0,0,0,,
35,8,5,Beban Pokok Pendapatan,0,0,0,0,0,,
36,8,6,Laba Kotor,0,0,0,0,0,,
37,8,7,Beban Usaha,0,0,0,0,0,,
38,8,8,Laba Usaha,0,0,0,0,0,,
39,8,9,Laba Tahun Berjalan,0,0,0,0,0,,
