"id","bumd_id","nama","jabatan","grup","created_at","updated_at"
1,13,Andrianto Adi,Komisaris Utama,Badan Pengawas,"2025-11-12 02:35:07","2025-11-12 07:31:36"
2,13,Agus Supriyandi,Direktur Utama,Direksi,"2025-11-12 02:35:07","2025-11-12 07:31:36"
5,8,Iwan Takwin,Direktur Utama,Direksi,"2025-11-12 04:15:02","2025-11-12 07:51:26"
6,8,Lusiana Herawati,Komisaris Utama,Badan Pengawas,"2025-11-12 04:51:13","2025-11-12 07:51:26"
7,1,Prasetyo Edi M,Ketua Badan Pengawas,Badan Pengawas,"2025-11-12 06:54:04","2025-11-12 06:58:47"
8,1,Arief Nasrudin,Direktur Utama,Direksi,"2025-11-12 06:54:12","2025-11-12 06:58:47"
9,1,Herman Sukmadipura,Sekretaris Badan Pengawas,Badan Pengawas,"2025-11-12 06:58:47","2025-11-12 06:58:47"
10,1,Marullah,Anggota Badan Pengawas,Badan Pengawas,"2025-11-12 06:58:47","2025-11-12 06:58:47"
11,1,Sang Made Mahendra Jaya,Anggota Badan Pengawas,Badan Pengawas,"2025-11-12 06:58:47","2025-11-12 06:58:47"
12,1,Mirwan BZ Vauly,Anggota Badan Pengawas,Badan Pengawas,"2025-11-12 06:58:47","2025-11-12 06:58:47"
13,1,Anugerah Esa,Direktur,Direksi,"2025-11-12 06:58:47","2025-11-12 06:58:47"
14,1,Akhmad Santika,Direktur Teknik,Direksi,"2025-11-12 06:58:47","2025-11-12 06:58:47"
15,1,Syahrul,Direktur Operasional,Direksi,"2025-11-12 06:58:47","2025-11-12 06:58:47"
16,1,Tedy Jiwantara Sitepu,Direktur Keuangan & Umum,Direksi,"2025-11-12 06:58:47","2025-11-12 06:58:47"
17,13,Jimmi Setya Budi,Direktur Keuangan,Direksi,"2025-11-12 07:31:36","2025-11-12 07:31:36"
18,7,Irfan Setiaputra,Komisaris utama dan Independen,Badan Pengawas,"2025-11-12 07:40:35","2025-11-12 07:40:35"
19,7,Trisni Puspitaningtyas,Komisaris Independen,Badan Pengawas,"2025-11-12 07:40:35","2025-11-12 07:40:35"
20,7,Lies Hartono,Komisaris,Badan Pengawas,"2025-11-12 07:40:35","2025-11-12 07:40:35"
21,7,Sutiyoso,Komisaris,Badan Pengawas,"2025-11-12 07:40:35","2025-11-12 07:40:35"
22,7,Suharini Eliawati,Komisaris,Badan Pengawas,"2025-11-12 07:40:35","2025-11-12 07:40:35"
23,7,Winarto,Direktur Utama,Direksi,"2025-11-12 07:40:35","2025-11-12 07:40:35"
24,7,Daniel Nainggolan,Direktur,Direksi,"2025-11-12 07:40:35","2025-11-12 07:40:35"
25,7,Eddy Prastiyo,Direktur,Direksi,"2025-11-12 07:40:36","2025-11-12 07:40:36"
26,7,Cahyo Prakoso,Direktur,Direksi,"2025-11-12 07:40:36","2025-11-12 07:40:36"
27,7,Syahmudrian Lubis,Direktur,Direksi,"2025-11-12 07:40:36","2025-11-12 07:40:36"
28,8,Sahrin Hamid,Komisaris,Badan Pengawas,"2025-11-12 07:51:26","2025-11-12 07:51:26"
29,8,Kreshna Putra,Komisaris,Badan Pengawas,"2025-11-12 07:51:26","2025-11-12 07:51:26"
30,8,Syaefuloh Hidayat,Komisaris,Badan Pengawas,"2025-11-12 07:51:26","2025-11-12 07:51:26"
31,8,I Gede Adi Adnayana Toyeadi,Direktur,Direksi,"2025-11-12 07:51:26","2025-11-12 07:51:26"
32,8,Solihin,Direktur,Direksi,"2025-11-12 07:51:26","2025-11-12 07:51:26"
33,8,Dian Takdir Badrsyah,Direktur,Direksi,"2025-11-12 07:51:26","2025-11-12 07:51:26"
34,12,Mayjen TNI Untung Budiharto,Komisaris Utama,Badan Pengawas,"2025-11-12 08:30:15","2025-11-12 08:30:15"
35,12,Luky Arliansyah,Komisaris,Badan Pengawas,"2025-11-12 08:30:15","2025-11-12 08:30:15"
36,12,M. Ainul Yakin,Komisaris,Badan Pengawas,"2025-11-12 08:30:15","2025-11-12 08:30:15"
37,12,Zudan Arif Fakrulloh,Komisaris,Badan Pengawas,"2025-11-12 08:30:15","2025-11-12 08:30:15"
38,12,Johan Budi Sapto Pribowo,Komisaris,Badan Pengawas,"2025-11-12 08:30:15","2025-11-12 08:30:15"
39,12,Welfizon Yuza,Direktur Utama,Direksi,"2025-11-12 08:30:15","2025-11-12 08:30:15"
40,12,Raditya Maulana Rusdi,Direktur Teknik,Direksi,"2025-11-12 08:30:15","2025-11-12 08:30:15"
41,12,Fadly Hasan,Direktur Pengembangan	,Direksi,"2025-11-12 08:30:15","2025-11-12 08:30:15"
42,12,Daud Yoseph,Direktur Operasi,Direksi,"2025-11-12 08:30:15","2025-11-12 08:30:15"
43,12,Mayangsari Dian Irwantari,Direktur Keuangan,Direksi,"2025-11-12 08:30:15","2025-11-12 08:30:15"
44,22,Yoshihiro Kobi,Komisaris Utama,Badan Pengawas,"2025-11-12 08:36:59","2025-11-12 08:36:59"
45,22,Bonny Harry,Komisaris Independen,Badan Pengawas,"2025-11-12 08:36:59","2025-11-12 08:36:59"
46,22,Johan Yudhya Santosa,Komisaris,Badan Pengawas,"2025-11-12 08:36:59","2025-11-12 08:36:59"
47,22,Erick Wihardja,Direktur Utama,Direksi,"2025-11-12 08:36:59","2025-11-12 08:36:59"
48,22,Denny,Direktur,Direksi,"2025-11-12 08:36:59","2025-11-12 08:36:59"
49,22,Aditya Wisnu Wardhana,Direktur,Direksi,"2025-11-12 08:36:59","2025-11-12 08:36:59"
50,16,Roy T.E.M.J Pakpahan,Komisaris Utama,Badan Pengawas,"2025-11-14 01:12:45","2025-11-14 01:12:45"
51,16,Carlos Antonio Mayo Berba,Komisaris,Badan Pengawas,"2025-11-14 01:12:45","2025-11-14 01:12:45"
52,16,Katsuhisa Nose,Komisaris,Badan Pengawas,"2025-11-14 01:12:45","2025-11-14 01:12:45"
53,16,Reynato Serrano Puno,Komisaris,Badan Pengawas,"2025-11-14 01:12:45","2025-11-14 01:12:45"
54,16,Samuel Nitisaputra,Komisaris,Badan Pengawas,"2025-11-14 01:12:45","2025-11-14 01:12:45"
55,16,Webster Andres Gonzales,Direktur Utama,Direksi,"2025-11-14 01:12:45","2025-11-14 01:12:45"
56,16,Ronny Titiheruw,Direktur,Direksi,"2025-11-14 01:12:45","2025-11-14 01:12:45"
57,16,Ma Joe de Castro Perucho,Direktur,Direksi,"2025-11-14 01:12:45","2025-11-14 01:12:45"
58,16,Brian Raymund Respicio Hernandez,Direktur,Direksi,"2025-11-14 01:12:45","2025-11-14 01:12:45"
59,16,Josemar Raymund Respicio,Direktur,Direksi,"2025-11-14 01:12:45","2025-11-14 01:12:45"
60,14,Sonny Harry Budiutomo Harmadi,Komisaris Utama,Badan Pengawas,"2025-11-14 01:19:05","2025-11-14 01:19:05"
61,14,Said Aldi Al Idrus,Komisaris Independen,Badan Pengawas,"2025-11-14 01:19:05","2025-11-14 01:19:05"
62,14,Yuni Suryanto,Komisaris,Badan Pengawas,"2025-11-14 01:19:05","2025-11-14 01:19:05"
63,14,Satrio Witjaksono,Direktur Utama,Direksi,"2025-11-14 01:19:05","2025-11-14 01:19:05"
64,14,Safei,Direktur Operasi & Pengembangan,Direksi,"2025-11-14 01:19:05","2025-11-14 01:19:05"
65,14,Dharma Satriadi,Direktur Keuangan	,Direksi,"2025-11-14 01:19:05","2025-11-14 01:19:05"
66,17,Deden Juhara,Komisaris Utama,Badan Pengawas,"2025-11-14 01:25:50","2025-11-14 01:25:50"
67,17,Yuniar Ludfi,Komisaris Independen,Badan Pengawas,"2025-11-14 01:25:50","2025-11-14 01:25:50"
68,17,Andar Perdana Widiastono,Komisaris Independen,Badan Pengawas,"2025-11-14 01:25:51","2025-11-14 01:25:51"
69,17,Dori Santosa,Komisaris,Badan Pengawas,"2025-11-14 01:25:51","2025-11-14 01:25:51"
70,17,Agus hendardi,Direktur Utama,Direksi,"2025-11-14 01:25:51","2025-11-14 01:25:51"
71,17,Muhammad Isran,Direktur Operasional,Direksi,"2025-11-14 01:25:51","2025-11-14 01:25:51"
72,17,Ikhwanoel,Direktur Keuangan,Direksi,"2025-11-14 01:25:51","2025-11-14 01:25:51"
73,17,Faruq Hidayat,Direktur Pemasaran & Pengemb.,Direksi,"2025-11-14 01:25:51","2025-11-14 01:25:51"
74,11,Heru Budi Hartono,Komisaris Utama,Badan Pengawas,"2025-11-14 01:33:08","2025-11-14 01:33:08"
75,11,Deni Surjantoro,Komisaris,Badan Pengawas,"2025-11-14 01:33:08","2025-11-14 01:33:08"
76,11,Dodik Wijanarko,Komisaris,Badan Pengawas,"2025-11-14 01:33:08","2025-11-14 01:33:08"
77,11,Sudarmanto,Komisaris,Badan Pengawas,"2025-11-14 01:33:08","2025-11-14 01:33:08"
78,11,Ahmad Yani,Komisaris,Badan Pengawas,"2025-11-14 01:33:08","2025-11-14 01:33:08"
79,11,Tuhiyat,Direktur Utama,Direksi,"2025-11-14 01:33:08","2025-11-14 01:33:08"
80,11,Weni Maulina,Direktur Konstruksi,Direksi,"2025-11-14 01:33:08","2025-11-14 01:33:08"
81,11,Farchad H. Mahfud,Direktur Pengembangan,Direksi,"2025-11-14 01:33:08","2025-11-14 01:33:08"
82,11,Mega Indahwati Natangsa,Direktur Operasi,Direksi,"2025-11-14 01:33:08","2025-11-14 01:33:08"
83,11,Risa Olivia,Direktur Administrasi & Keuangan,Direksi,"2025-11-14 01:33:08","2025-11-14 01:33:08"
84,19,Rinaldi,Komisaris Utama,Badan Pengawas,"2025-11-14 02:24:05","2025-11-14 02:24:05"
85,19,Hadi Susanto,Komisaris Independen,Badan Pengawas,"2025-11-14 02:24:05","2025-11-14 02:24:05"
86,19,Didik Supriyanto,Komisaris Independen,Badan Pengawas,"2025-11-14 02:24:05","2025-11-14 02:24:05"
87,19,Prokoso Budi Wibowo,Komisaris Independen,Badan Pengawas,"2025-11-14 02:24:05","2025-11-14 02:24:05"
88,19,Juniardi Swastria,Komisaris  ,Badan Pengawas,"2025-11-14 02:24:05","2025-11-14 02:24:05"
89,19,Herry Yanson,Direktur Utama,Direksi,"2025-11-14 02:24:05","2025-11-14 02:24:05"
90,19,Defit Rizal,Direktur Teknik,Direksi,"2025-11-14 02:24:05","2025-11-14 02:24:05"
