id,title,description,image,published,created_at,updated_at
3,"Progres Konstruksi MRT Jakarta Mencapai 95 persen","Progress Konstruksi MRT Jakarta Mencapai 95 % per Juli 2018","{""thumbnail"":{""url"":""\/pics\/user\/2018\/10\/11\/57\/23\/50x50_crop\/mFNnbu4tD8q3drrQ.jpg"",""height"":50,""width"":50},""xsmall"":{""url"":""\/pics\/user\/2018\/10\/11\/57\/23\/160x120\/mFNnbu4tD8q3drrQ.jpg"",""height"":107,""width"":160},""small"":{""url"":""\/pics\/user\/2018\/10\/11\/57\/23\/240x180\/mFNnbu4tD8q3drrQ.jpg"",""height"":160,""width"":240},""profile"":{""url"":""\/pics\/user\/2018\/10\/11\/57\/23\/300x300_crop\/mFNnbu4tD8q3drrQ.jpg"",""height"":300,""width"":300},""medium"":{""url"":""\/pics\/user\/2018\/10\/11\/57\/23\/640x480\/mFNnbu4tD8q3drrQ.jpg"",""height"":427,""width"":640},""large"":{""url"":""\/pics\/user\/2018\/10\/11\/57\/23\/800x600\/mFNnbu4tD8q3drrQ.jpg"",""height"":533,""width"":800},""original"":{""url"":""\/pics\/user\/2018\/10\/11\/57\/23\/mFNnbu4tD8q3drrQ.jpg"",""height"":null,""width"":null}}",1,"2018-10-11 12:57:23","2018-10-11 12:57:23"
4,"BUMD DKI Juara Umum Top BUMD Award 2018","BUMD DKI Juara Umum Top BUMD Award 2018","{""thumbnail"":{""url"":""\/pics\/user\/2018\/10\/11\/05\/53\/50x50_crop\/rBA6s0hdI3zR9xYZ.jpg"",""height"":50,""width"":50},""xsmall"":{""url"":""\/pics\/user\/2018\/10\/11\/05\/53\/160x120\/rBA6s0hdI3zR9xYZ.jpg"",""height"":70,""width"":160},""small"":{""url"":""\/pics\/user\/2018\/10\/11\/05\/53\/240x180\/rBA6s0hdI3zR9xYZ.jpg"",""height"":105,""width"":240},""profile"":{""url"":""\/pics\/user\/2018\/10\/11\/05\/53\/300x300_crop\/rBA6s0hdI3zR9xYZ.jpg"",""height"":300,""width"":300},""medium"":{""url"":""\/pics\/user\/2018\/10\/11\/05\/53\/640x480\/rBA6s0hdI3zR9xYZ.jpg"",""height"":281,""width"":640},""large"":{""url"":""\/pics\/user\/2018\/10\/11\/05\/53\/800x600\/rBA6s0hdI3zR9xYZ.jpg"",""height"":351,""width"":800},""original"":{""url"":""\/pics\/user\/2018\/10\/11\/05\/53\/rBA6s0hdI3zR9xYZ.jpg"",""height"":null,""width"":null}}",1,"2018-10-11 13:05:56","2018-10-11 13:05:56"
5,"Pengoperasian Layanan Integrasi Transportasi Di Jakarta","OK-OTRIP ini sudah melayani 21 Trayek meliputi beberapa Daerah di DKI Jakarta dan  sekitar 70.000 (Tujuh puluh ribu) orang Pelanggan perhari","{""thumbnail"":{""url"":""\/pics\/user\/2018\/10\/11\/22\/56\/50x50_crop\/eXLaNWPmzEDeDDSn.png"",""height"":50,""width"":50},""xsmall"":{""url"":""\/pics\/user\/2018\/10\/11\/22\/56\/160x120\/eXLaNWPmzEDeDDSn.png"",""height"":78,""width"":160},""small"":{""url"":""\/pics\/user\/2018\/10\/11\/22\/56\/240x180\/eXLaNWPmzEDeDDSn.png"",""height"":116,""width"":240},""profile"":{""url"":""\/pics\/user\/2018\/10\/11\/22\/56\/300x300_crop\/eXLaNWPmzEDeDDSn.png"",""height"":300,""width"":300},""medium"":{""url"":""\/pics\/user\/2018\/10\/11\/22\/56\/640x480\/eXLaNWPmzEDeDDSn.png"",""height"":310,""width"":640},""large"":{""url"":""\/pics\/user\/2018\/10\/11\/22\/56\/800x600\/eXLaNWPmzEDeDDSn.png"",""height"":388,""width"":800},""original"":{""url"":""\/pics\/user\/2018\/10\/11\/22\/56\/eXLaNWPmzEDeDDSn.png"",""height"":null,""width"":null}}",1,"2018-10-11 13:23:03","2018-10-11 13:23:03"
7,"Pembangunan Velodrome Rawamangun Rampung","Pembangunan Velodrome Rawamangun telah rampung dikerjakan dan  juga telah mengantongi sertifikat dari Persatuan Balap Sepeda Internasional (UCI) di bulan Juni 2018 lalu","{""thumbnail"":{""url"":""\/pics\/user\/2018\/10\/11\/42\/42\/50x50_crop\/i1KD5uNAOwM6AMf8.png"",""height"":50,""width"":50},""xsmall"":{""url"":""\/pics\/user\/2018\/10\/11\/42\/42\/160x120\/i1KD5uNAOwM6AMf8.png"",""height"":67,""width"":160},""small"":{""url"":""\/pics\/user\/2018\/10\/11\/42\/42\/240x180\/i1KD5uNAOwM6AMf8.png"",""height"":100,""width"":240},""profile"":{""url"":""\/pics\/user\/2018\/10\/11\/42\/42\/300x300_crop\/i1KD5uNAOwM6AMf8.png"",""height"":250,""width"":300},""medium"":{""url"":""\/pics\/user\/2018\/10\/11\/42\/42\/640x480\/i1KD5uNAOwM6AMf8.png"",""height"":250,""width"":600},""large"":{""url"":""\/pics\/user\/2018\/10\/11\/42\/42\/800x600\/i1KD5uNAOwM6AMf8.png"",""height"":250,""width"":600},""original"":{""url"":""\/pics\/user\/2018\/10\/11\/42\/42\/i1KD5uNAOwM6AMf8.png"",""height"":null,""width"":null}}",1,"2018-10-11 13:42:42","2018-10-11 13:42:42"
8,"Layanan Air Minum PAM JAYA","Pengelolaan pelayanan air minum di DKI Jakarta dilakasanakan oleh Perusahaan Daerah Air Minum Daerah Khusus Ibukota Jakarta (PAM JAYA)","{""thumbnail"":{""url"":""\/pics\/user\/2018\/11\/05\/10\/35\/50x50_crop\/1ge998T05YIlzoB4.JPG"",""height"":50,""width"":50},""xsmall"":{""url"":""\/pics\/user\/2018\/11\/05\/10\/35\/160x120\/1ge998T05YIlzoB4.JPG"",""height"":107,""width"":160},""small"":{""url"":""\/pics\/user\/2018\/11\/05\/10\/35\/240x180\/1ge998T05YIlzoB4.JPG"",""height"":160,""width"":240},""profile"":{""url"":""\/pics\/user\/2018\/11\/05\/10\/35\/300x300_crop\/1ge998T05YIlzoB4.JPG"",""height"":300,""width"":300},""medium"":{""url"":""\/pics\/user\/2018\/11\/05\/10\/35\/640x480\/1ge998T05YIlzoB4.JPG"",""height"":427,""width"":640},""large"":{""url"":""\/pics\/user\/2018\/11\/05\/10\/35\/800x600\/1ge998T05YIlzoB4.JPG"",""height"":533,""width"":800},""original"":{""url"":""\/pics\/user\/2018\/11\/05\/10\/35\/1ge998T05YIlzoB4.JPG"",""height"":null,""width"":null}}",1,"2018-11-05 03:10:46","2018-11-05 03:10:46"
13,"Perjalanan Panjang Program Rusunami DP Rp 0 yang Akhirnya Diluncurkan Hari Ini... ","Realisasi rusunami DP 0 pertama berada di kawasan Pondok Klapa Village, Jalan Haji Naman, Kelurahan Pondok Kelapa, Kecamatan Duren Sawit, Jakarta Timur.
","{""thumbnail"":{""url"":""\/pics\/user\/2018\/11\/05\/14\/04\/50x50_crop\/pyYDjLmxJAkTpJVS.jpg"",""height"":50,""width"":50},""xsmall"":{""url"":""\/pics\/user\/2018\/11\/05\/14\/04\/160x120\/pyYDjLmxJAkTpJVS.jpg"",""height"":107,""width"":160},""small"":{""url"":""\/pics\/user\/2018\/11\/05\/14\/04\/240x180\/pyYDjLmxJAkTpJVS.jpg"",""height"":160,""width"":240},""profile"":{""url"":""\/pics\/user\/2018\/11\/05\/14\/04\/300x300_crop\/pyYDjLmxJAkTpJVS.jpg"",""height"":300,""width"":300},""medium"":{""url"":""\/pics\/user\/2018\/11\/05\/14\/04\/640x480\/pyYDjLmxJAkTpJVS.jpg"",""height"":427,""width"":640},""large"":{""url"":""\/pics\/user\/2018\/11\/05\/14\/04\/800x600\/pyYDjLmxJAkTpJVS.jpg"",""height"":500,""width"":750},""original"":{""url"":""\/pics\/user\/2018\/11\/05\/14\/04\/pyYDjLmxJAkTpJVS.jpg"",""height"":null,""width"":null}}",1,"2018-11-05 03:14:04","2018-11-05 03:14:04"
14,"BUMD LEADERSHIP FORUM dengan tema Peran BUMD DKI Jakarta mendukung Urban Regeneration","Bapak Anies Baswedan Gubernur DKI Jakarta, menghadiri kegiatan BUMD Leadership Forum yang dilaksanakan pada Kamis, 10 Oktober 2019 di Novotel Cikini.","{""thumbnail"":{""url"":""\/pics\/user\/2019\/10\/11\/45\/44\/50x50_crop\/yPujxM6WaF8Uj1C2.jpeg"",""height"":50,""width"":50},""xsmall"":{""url"":""\/pics\/user\/2019\/10\/11\/45\/44\/160x120\/yPujxM6WaF8Uj1C2.jpeg"",""height"":90,""width"":160},""small"":{""url"":""\/pics\/user\/2019\/10\/11\/45\/44\/240x180\/yPujxM6WaF8Uj1C2.jpeg"",""height"":135,""width"":240},""profile"":{""url"":""\/pics\/user\/2019\/10\/11\/45\/44\/300x300_crop\/yPujxM6WaF8Uj1C2.jpeg"",""height"":300,""width"":300},""medium"":{""url"":""\/pics\/user\/2019\/10\/11\/45\/44\/640x480\/yPujxM6WaF8Uj1C2.jpeg"",""height"":360,""width"":640},""large"":{""url"":""\/pics\/user\/2019\/10\/11\/45\/44\/800x600\/yPujxM6WaF8Uj1C2.jpeg"",""height"":450,""width"":800},""original"":{""url"":""\/pics\/user\/2019\/10\/11\/45\/44\/yPujxM6WaF8Uj1C2.jpeg"",""height"":null,""width"":null}}",1,"2019-10-11 08:45:44","2019-10-11 08:45:44"
15,"BUMD LEADERSHIP FORUM dengan tema Peran BUMD DKI Jakarta mendukung Urban Regeneration","Kegiatan ini diselenggarakan oleh Badan Pembinaan BUMD Provinsi DKI Jakarta dengan tujuan untuk meningkatkan sinergitas antar Pengurus BUMD.","{""thumbnail"":{""url"":""\/pics\/user\/2019\/10\/11\/46\/58\/50x50_crop\/24qBtCJPFf2yz2yX.jpeg"",""height"":50,""width"":50},""xsmall"":{""url"":""\/pics\/user\/2019\/10\/11\/46\/58\/160x120\/24qBtCJPFf2yz2yX.jpeg"",""height"":107,""width"":160},""small"":{""url"":""\/pics\/user\/2019\/10\/11\/46\/58\/240x180\/24qBtCJPFf2yz2yX.jpeg"",""height"":160,""width"":240},""profile"":{""url"":""\/pics\/user\/2019\/10\/11\/46\/58\/300x300_crop\/24qBtCJPFf2yz2yX.jpeg"",""height"":300,""width"":300},""medium"":{""url"":""\/pics\/user\/2019\/10\/11\/46\/58\/640x480\/24qBtCJPFf2yz2yX.jpeg"",""height"":427,""width"":640},""large"":{""url"":""\/pics\/user\/2019\/10\/11\/46\/58\/800x600\/24qBtCJPFf2yz2yX.jpeg"",""height"":533,""width"":800},""original"":{""url"":""\/pics\/user\/2019\/10\/11\/46\/58\/24qBtCJPFf2yz2yX.jpeg"",""height"":null,""width"":null}}",1,"2019-10-11 08:46:59","2019-10-11 08:46:59"
16,"Perumda Pembangunan Sarana Jaya Luncurkan Whistle-blowing System","Perusahaan Umum Daerah (Perumda) Pembangunan Sarana Jaya menyelenggarakan Diskusi dan Launching Whistle-blowing System (WBS). Launching ini dilakukan bertepatan dengan Hari Anti-korupsi Sedunia (Hakordia) yang diperingati setiap 9 Desember.","{""thumbnail"":{""url"":""\/pics\/user\/2021\/12\/15\/02\/48\/50x50_crop\/F0VPSSvL0X4hQwm3.jpg"",""height"":50,""width"":50},""xsmall"":{""url"":""\/pics\/user\/2021\/12\/15\/02\/48\/160x120\/F0VPSSvL0X4hQwm3.jpg"",""height"":120,""width"":160},""small"":{""url"":""\/pics\/user\/2021\/12\/15\/02\/48\/240x180\/F0VPSSvL0X4hQwm3.jpg"",""height"":180,""width"":239},""profile"":{""url"":""\/pics\/user\/2021\/12\/15\/02\/48\/300x300_crop\/F0VPSSvL0X4hQwm3.jpg"",""height"":300,""width"":300},""medium"":{""url"":""\/pics\/user\/2021\/12\/15\/02\/48\/640x480\/F0VPSSvL0X4hQwm3.jpg"",""height"":337,""width"":448},""large"":{""url"":""\/pics\/user\/2021\/12\/15\/02\/48\/800x600\/F0VPSSvL0X4hQwm3.jpg"",""height"":337,""width"":448},""original"":{""url"":""\/pics\/user\/2021\/12\/15\/02\/48\/F0VPSSvL0X4hQwm3.jpg"",""height"":null,""width"":null}}",1,"2021-12-15 04:02:48","2021-12-15 04:02:48"
17,"Penandatanganan Key Performance Indicator (KPI) BUMD Provinsi DKI Jakarta Tahun 2022 pada Sabtu, tanggal 15 Januari 2022 pada Kegiatan BUMD Leaders' Summit 2022 yang disaksikan oleh Gubernur dan Wakil Gubernur Provinsi DKI Jakarta.",,"{""thumbnail"":{""url"":""\/pics\/user\/2022\/01\/15\/31\/35\/50x50_crop\/KodBdQCQFdw1vxi6.jpg"",""height"":50,""width"":50},""xsmall"":{""url"":""\/pics\/user\/2022\/01\/15\/31\/35\/160x120\/KodBdQCQFdw1vxi6.jpg"",""height"":120,""width"":160},""small"":{""url"":""\/pics\/user\/2022\/01\/15\/31\/35\/240x180\/KodBdQCQFdw1vxi6.jpg"",""height"":180,""width"":240},""profile"":{""url"":""\/pics\/user\/2022\/01\/15\/31\/35\/300x300_crop\/KodBdQCQFdw1vxi6.jpg"",""height"":300,""width"":300},""medium"":{""url"":""\/pics\/user\/2022\/01\/15\/31\/35\/640x480\/KodBdQCQFdw1vxi6.jpg"",""height"":480,""width"":640},""large"":{""url"":""\/pics\/user\/2022\/01\/15\/31\/35\/800x600\/KodBdQCQFdw1vxi6.jpg"",""height"":600,""width"":800},""original"":{""url"":""\/pics\/user\/2022\/01\/15\/31\/35\/KodBdQCQFdw1vxi6.jpg"",""height"":null,""width"":null}}",1,"2022-01-15 07:31:36","2022-01-15 07:31:36"
