title,keterangan,akses,filename,original_filename
"Peraturan Gubernur Provinsi DKI Jakarta No.213 Tahun 2015","Tentang Percepatan Pembangunan Prasarana Kereta Api Ringan/Light Rail Transit",publik,jkpro/PicAvoV3WY8sJxEn.pdf,"PERGUB NO.213 TAHUN 2015 TTG PERCEPATAN PEMBANGUNAN PRASARANA LRT.pdf"
"Peraturan Gubernur Provinsi DKI Jakarta No.145 Tahun 2017","Tentang Sistem Jakarta One",publik,jkpro/8pa3K7htErPivDj4.pdf,"PERGUB NO.145 TAHUN 2017 TTG SISTEM JAKARTA ONE.pdf"
"Keputusan Gubernur Provinsi DKI Jakarta No.1491/2006","Tentang Penambahan Penyertaan Modal Pemerintah Provinsi DKI Jakarta Kepada PT Jakarta Propertindo Tahun Anggaran 2006",publik,jkpro/u0SFIbg84Jtxp3oZ.pdf,"SK Pencairan 150 Milyar (2006).pdf"
"Keputusan Gubernur Provinsi DKI Jakarta No.1617/2011","Tentang Pencairan Penyertaan Modal Daerah Pada PT Jakarta Propertindo Tahun Anggaran 2011",publik,jkpro/N6jBYy5bztauK4PS.pdf,"SK Pencairan 100 M 2011.pdf"
"Keputusan Gubernur Provinsi DKI Jakarta No.796/2012","Tentang Penyertaan Modal Daerah Pada PT Jakarta Propertindo Tahun Anggaran 2012",publik,jkpro/QZtVSXlRud5DjKyw.pdf,"SK Pencairan 50 Milyar (2012).pdf"
"Keputusan Gubernur Provinsi DKI Jakarta No.1832 Tahun 2013","Tentang Pencairan Penyertaan Modal Daerah Pada PT Jakarta Propertindo",publik,jkpro/nsPdAwKvCDaleiMF.pdf,"SK Pencairan 750 Milyar(2013).pdf"
"Keputusan Gubernur Provinsi DKI Jakarta No.2089 Tahun 2014","Tentang Pencairan Penyertaan Modal Daerah Pada PT Jakarta Propertindo Tahun Anggaran 2014",publik,jkpro/PNxAk7quLE2y4ilW.pdf,"SK Pencairan 100 Milyar(2014).pdf"
"Keputusan Gubernur Provinsi DKI Jakarta No.2084 Tahun 2014","Tentang Pencairan Penyertaan Modal Daerah Pada PT Jakarta Propertindo Tahun Anggaran 2014",publik,jkpro/AMnJ07crFlEVT2Dx.pdf,"SK Pencairan 310 Milyar(2014).pdf"
"Keputusan Gubernur Provinsi DKI Jakarta No.1036 Tahun 2014","Tentang Pencairan Penyertaan Modal Daerah Pada PT Jakarta Propertindo Tahun Anggaran 2014",publik,jkpro/PtGZiumRe2lkj4JN.pdf,"SK Pencairan 500 Milyar(2014).pdf"
"Keputusan Gubernur Provinsi DKI Jakarta No.2698 Tahun 2015","Tentang Pencairan Penyertaan Modal Daerah Pada PT Jakarta Propertindo Tahun Anggaran 2015",publik,jkpro/V0oF9cAaBzmNMg6T.pdf,"SK Pencairan 1,5 Triliun(2015).pdf"
"Keputusan Gubernur Provinsi DKI Jakarta No.2732 Tahun 2016","Tentang Pencairan Penyertaan Modal Daerah Pada PT Jakarta Propertindo Tahun Anggaran 2016",publik,jkpro/VNO26soLFhDTSWQ3.pdf,"Kepgub Pencairan 1 Triliun(2016).pdf"
"Keputusan Gubernur Provinsi DKI Jakarta No.849 Tahun 2017","Tentang Pencairan Penyertaan Modal Daerah Pada PT Jakarta Propertindo Tahun Anggaran 2017",publik,jkpro/WYQon9g7vSKJmji5.pdf,"SK GUBERNUR NO.849 TAHUN 2017 (PMP 1.2 T ).pdf"
"Keputusan Gubernur Provinsi DKI Jakarta No.2313 Tahun 2017","Tentang Pencairan Penyertaan Modal Daerah Pada PT Jakarta Propertindo Tahun Anggaran 2017",publik,jkpro/eI9gvhaQUdnCkMzu.pdf,"SK Pencairan 3.462 T 2017.pdf"
"Peraturan Gubernur Nomor 109 Tahun 2011","Kepengurusan Badan Usaha Milik Daerah",publik,pkuan/mKzphDyr2GaZx5jW.pdf,PERGUB_NO_109_TAHUN_2011.pdf
